Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,TE Group Measure Count,Count of Facility TE Measures,Full Address,Net MORT Score,Net Safety Score,Net READM Score,Location,Latitude,Longitude
520208,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,3400 EAST RACINE STREET,JANESVILLE,WI,53546,ROCK,(608) 373-8000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,7,4,0,4,0,8,4,0,4,0,11,7,0,7,0,8,8,12,10,"3400 EAST RACINE STREET, JANESVILLE, WI",0,0,0,"SSM Health - Janesville East, 3400, East Racine Street, Janesville, Rock County, Wisconsin, 53546, United States",42.669286,-88.9774802
520210,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,2310 CRAIG RD,EAU CLAIRE,WI,54701,EAU CLAIRE,(715) 858-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,5,0,5,0,8,5,0,5,0,11,9,0,8,1,8,8,12,10,"2310 CRAIG RD, EAU CLAIRE, WI",0,0,-1,"Marshfield Medical Center Eau Claire, 2310, Craig Road, Water Street Historic District, Eau Claire, Eau Claire County, Wisconsin, 54701, United States",44.7953543,-91.5194374
521308,AMERY HOSPITAL & CLINIC,265 GRIFFIN STREET EAST,AMERY,WI,54001,POLK,(715) 268-0300,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,3,0,3,0,8,1,0,1,0,11,5,0,5,0,8,8,12,8,"265 GRIFFIN STREET EAST, AMERY, WI",0,0,0,"Amery Hospital & Clinic, 265, Griffin Street East, Amery, Polk County, Wisconsin, 54001, United States",45.2978074,-92.3615994
521337,ST CROIX REGIONAL MEDICAL CENTER,235 E STATE STREET,SAINT CROIX FALLS,WI,54024,POLK,(715) 483-0247,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,3,0,3,0,8,1,0,1,0,11,7,0,7,0,8,8,12,6,"235 E STATE STREET, SAINT CROIX FALLS, WI",0,0,0,"St. Croix Regional Medical Center, 235, East State Street, Saint Croix Falls, Polk County, Wisconsin, 54024, United States",45.4082702,-92.6418184
521340,MAYO CLINIC HEALTH SYSTEM-RED CEDAR INC,2321 STOUT RD,MENOMONIE,WI,54751,DUNN,(715) 235-5531,Critical Access Hospitals,Voluntary non-profit - Private,Yes,N,4,7,3,0,3,0,8,1,0,1,0,11,6,0,6,0,8,8,12,7,"2321 STOUT RD, MENOMONIE, WI",0,0,0,"2321, Stout Road, Menomonie, Dunn County, Wisconsin, 54751, United States",44.8831647,-91.901335
521341,RICHLAND HOSPITAL,333 E SECOND ST,RICHLAND CENTER,WI,53581,RICHLAND,(608) 647-6321,Critical Access Hospitals,Voluntary non-profit - Private,Yes,N,4,7,3,0,3,0,8,2,0,2,0,11,5,0,5,0,8,8,12,5,"333 E SECOND ST, RICHLAND CENTER, WI",0,0,0,,43.3366,-90.3831
521351,REEDSBURG AREA MEDICAL CENTER,2000 N DEWEY AVE,REEDSBURG,WI,53959,SAUK,(608) 524-6487,Critical Access Hospitals,Voluntary non-profit - Private,Yes,N,3,7,3,0,3,0,8,1,0,1,0,11,3,0,3,0,8,8,12,3,"2000 N DEWEY AVE, REEDSBURG, WI",0,0,0,"Reedsburg Area Medical Center, 2000, North Dewey Avenue, Reedsburg, Sauk County, Wisconsin, 53959, United States",43.5499547,-89.9931125
521352,UPLAND HILLS HEALTH,800 COMPASSION WAY,DODGEVILLE,WI,53533,IOWA,(608) 930-8000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,N,3,7,3,0,3,0,8,1,0,1,0,11,5,0,5,0,8,8,12,8,"800 COMPASSION WAY, DODGEVILLE, WI",0,0,0,"Upland Hills Health, 800, Compassion Way, Dodgeville, Iowa County, Wisconsin, 53533, United States",42.9512092,-90.1291657
521357,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,N2950 STATE ROAD 67,LAKE GENEVA,WI,53147,WALWORTH,(262) 245-0535,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,3,0,3,0,8,2,0,2,0,11,7,0,7,0,8,8,12,9,"N2950 STATE ROAD 67, LAKE GENEVA, WI",0,0,0,,42.5991,-88.54
521358,DOOR COUNTY MEDICAL CENTER,323 SOUTH 18TH AVENUE,STURGEON BAY,WI,54235,DOOR,(920) 743-5566,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,3,0,3,0,8,1,0,1,0,11,4,0,4,0,8,8,12,7,"323 SOUTH 18TH AVENUE, STURGEON BAY, WI",0,0,0,"Door County Medical Center, 323, South 18th Avenue, Sturgeon Bay, Door County, Wisconsin, 54235, United States",44.8323272,-87.3533289
521359,TAMARACK HEALTH ASHLAND MEDICAL CENTER,1615 MAPLE LANE,ASHLAND,WI,54806,ASHLAND,(715) 685-5500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,4,0,4,0,8,2,0,2,0,11,8,0,7,1,8,8,12,10,"1615 MAPLE LANE, ASHLAND, WI",0,0,-1,"Tamarack Health Ashland Medical Center, 1615, Maple Lane, Ashland, Ashland County, Wisconsin, 54806, United States",46.5691534,-90.8887352
